First Name,Last Name,Position,Jersey,Team,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Touches,Total Passes,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Cole,Williams,M,14,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Cam,Wyers,D,20,Archers,10,1,0,0,0,0,1,4,0,1,0.25,2,0,0,20,1,39,34,6,0,0,0,0,0,0,0,0,0,0,0,4,3.5,0,0,0,0,,0
Patrick,Shoemay,D,25,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Challen,Rogers,M,23,Archers,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Tucker,Dordevic,M,2,Whipsnakes,4,10,7,4,3,10,0,25,0.28,14,0.56,6,0.5,5,4,4,80,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,0
Ben,Randall,D,44,Waterdogs,10,2,1,1,0,1,1,3,0.3333333333333333,1,0.3333333333333333,2,0,0,27,4,100,93,17,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Mike,Sisselberger,FO,99,Archers,10,1,1,1,0,1,0,8,0.125,2,0.25,0,0,0,94,19,86,59,1,255,149,104,0.5843137254901961,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Brad,Smith,M,27,Whipsnakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Tom,Schreiber,M,26,Archers,9,27,11,10,1,12,15,50,0.22,28,0.56,13,0.07692307692307693,5,9,15,257,192,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,,0
Grant,Ament,M,16,Archers,10,28,15,15,0,15,13,45,0.3333333333333333,27,0.6,1,0,1,9,18,285,222,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,1,0,0,,0
Ryland,Rees,LSM,17,Waterdogs,10,8,4,0,4,8,0,6,0.6666666666666666,6,1,5,0.8,5,25,6,43,31,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Reid,Bowering,M,98,Atlas,3,3,2,2,0,2,1,8,0.25,4,0.5,0,0,0,7,3,24,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Connor,Shellenberger,A,1,Atlas,8,26,15,15,0,15,11,35,0.42857142857142855,24,0.6857142857142857,1,0,0,18,8,272,229,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,,0
Nick,Rowlett,FO,73,Chaos,9,2,1,1,0,1,1,11,0.09090909090909091,6,0.5454545454545454,0,0,0,51,8,51,32,2,207,76,129,0.3671497584541063,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
Michael,Manley,D,5,Outlaws,10,1,0,0,0,0,1,6,0,2,0.3333333333333333,4,0,2,21,4,73,63,11,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Ethan,Rall,LSM,35,Cannons,10,2,1,1,0,1,1,6,0.16666666666666666,4,0.6666666666666666,1,0,1,29,3,49,40,12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Ryan,Ambler,M,13,Archers,10,13,8,8,0,8,5,29,0.27586206896551724,18,0.6206896551724138,0,0,0,5,16,156,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,,0
Asher,Nolting,A,32,Cannons,10,39,11,11,0,11,28,41,0.2682926829268293,26,0.6341463414634146,1,0,1,14,30,316,245,2,1,0,1,0,0,0,0,0,0,0,0,3,2.5,0,1,0,0,,0
Cade,van Raaphorst,D,77,Cannons,10,1,0,0,0,0,1,18,0,3,0.16666666666666666,18,0,3,24,6,92,68,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Jake,Bernhardt,SSDM,83,Whipsnakes,9,2,1,1,0,1,1,5,0.2,2,0.4,2,0,0,6,4,55,46,1,10,1,9,0.1,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Matt,Moore,A,11,Archers,7,10,5,4,1,6,4,29,0.1724137931034483,13,0.4482758620689655,4,0.25,3,9,9,165,127,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Jesse,Bernhardt,D,36,Outlaws,6,1,0,0,0,0,1,1,0,0,0,1,0,0,8,0,50,49,5,0,0,0,0,0,0,0,0,0,0,0,3,2.5,0,0,0,0,,0
Jack,Kielty,D,40,Cannons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jonathan,Donville,M,33,Cannons,1,0,0,0,0,0,0,2,0,1,0.5,0,0,0,0,4,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Logan,Wisnauskas,A,12,Outlaws,1,4,3,3,0,3,1,7,0.42857142857142855,6,0.8571428571428571,0,0,0,5,2,39,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
Greg,Weyl,D,57,Outlaws,3,1,1,1,0,1,0,3,0.3333333333333333,1,0.3333333333333333,0,0,0,7,0,22,19,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Dillon,Ward,G,37,Waterdogs,8,0,0,0,0,0,0,1,0,0,0,1,0,0,21,2,102,99,3,0,0,0,0,81,0.515923566878981,86,12.495837747843197,10,1.45300438928409,19821,0,0,0,0,0,0,,2
Matt,Whitcher,SSDM,33,Waterdogs,9,2,2,2,0,2,0,11,0.18181818181818182,5,0.45454545454545453,1,0,0,11,7,60,42,5,18,0,18,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
Wes,Berg,A,14,Redwoods,10,15,14,14,0,14,1,28,0.5,20,0.7142857142857143,0,0,0,6,10,128,90,2,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,0,0,,0
Jack,Kelly,G,94,Redwoods,10,0,0,0,0,0,0,1,0,0,0,1,0,0,16,3,148,144,4,0,0,0,0,119,0.504237288135593,126,13.517601043024772,9,0.965542931644625,26845,0,0,0,0,0,0,,8
Alex,Mazzone,LSM,6,Whipsnakes,6,0,0,0,0,0,0,1,0,0,0,1,0,0,13,2,22,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Zed,Williams,A,36,Whipsnakes,10,31,27,26,1,28,3,78,0.34615384615384615,49,0.6282051282051282,6,0.16666666666666666,2,14,12,208,118,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,0,0,,0
Colin,Squires,LSM,39,Whipsnakes,10,2,1,1,0,1,1,4,0.25,1,0.25,2,0,0,39,1,55,50,5,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Roman,Puglise,SSDM,8,Whipsnakes,10,6,4,3,1,5,1,7,0.5714285714285714,5,0.7142857142857143,1,1,1,12,6,91,78,2,1,0,1,0,0,0,0,0,0,0,0,2,2.5,0,0,0,0,,0
Carter,Page,A,62,Waterdogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jacob,Morin,M,90,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mac,Costin,M,23,Outlaws,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Troy,Hettinger,LSM,9,Outlaws,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Liam,Byrnes,D,21,Waterdogs,5,0,0,0,0,0,0,2,0,0,0,1,0,0,5,2,39,35,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dylan,Gergar,M,40,Outlaws,2,2,2,2,0,2,0,12,0.16666666666666666,6,0.5,2,0,1,3,1,26,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0
Zach,Cole,FO,10,Redwoods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Lee,A,45,Redwoods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
AJ,Mercurio,D,13,Waterdogs,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Owen,Grant,LSM,81,Redwoods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kenny,Brower,D,29,Waterdogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Cross,Ferrara,M,22,Outlaws,10,11,7,6,1,8,3,36,0.19444444444444445,21,0.5833333333333334,4,0.25,2,4,4,138,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,0
Jake,Higgins,SSDM,41,Waterdogs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jarrod,Neumann,D,88,Chaos,10,0,0,0,0,0,0,4,0,2,0.5,4,0,2,16,1,43,38,5,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,,0
Josh,Byrne,A,22,Chaos,9,29,11,11,0,11,18,50,0.22,28,0.56,1,0,0,13,17,288,221,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,,0
Eric,Law,A,15,Outlaws,6,13,11,11,0,11,2,25,0.44,20,0.8,0,0,0,7,12,161,124,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,,0
Justin,Anderson,M,21,Outlaws,10,19,12,11,1,13,6,37,0.32432432432432434,22,0.5945945945945946,1,1,1,21,11,187,139,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,,0
Mark,Glicini,SSDM,16,Chaos,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Terefenko,SSDM,34,Outlaws,10,8,5,4,1,6,2,8,0.625,7,0.875,1,1,1,16,7,120,105,1,5,0,5,0,0,0,0,0,0,0,0,6,3,0,0,0,0,,0
Blaze,Riorden,G,0,Chaos,8,3,1,1,0,1,2,2,0.5,1,0.5,1,0,0,13,3,109,104,4,0,0,0,0,92,0.593548387096774,66,9.795413553207936,3,0.445246070600362,19405,0,0,0,0,0,0,,7
Isaiah,Davis-Allen,SSDM,26,Redwoods,5,1,0,0,0,0,1,1,0,1,1,0,0,0,4,0,16,15,3,10,3,7,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,Rambo,A,9,Whipsnakes,9,18,12,12,0,12,6,41,0.2926829268292683,26,0.6341463414634146,0,0,0,8,17,212,154,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,3,0,0,,0
Rob,Pannell,A,3,Redwoods,10,30,15,15,0,15,15,74,0.20270270270270271,40,0.5405405405405406,0,0,0,21,25,417,318,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
Marcus,Holman,A,1,Cannons,10,32,25,22,3,28,4,77,0.3246753246753247,53,0.6883116883116883,12,0.25,9,24,17,381,287,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,7,0,0,,0
Adam,Ghitelman,G,8,Cannons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Zach,Goodrich,SSDM,14,Cannons,10,1,0,0,0,0,1,1,0,1,1,0,0,0,6,2,33,30,5,19,2,16,0.10526315789473684,0,0,0,0,0,0,0,3,1.5,0,0,0,0,,0
Matt,DeLuca,G,1,Waterdogs,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,51,49,0,0,0,0,0,47,0.566265060240964,37,11.450676982591876,1,0.309477756286267,9306,0,0,0,0,0,0,,3
Eli,Gobrecht,D,25,Waterdogs,10,0,0,0,0,0,0,2,0,2,1,1,0,1,20,2,59,55,8,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Ethan,Walker,A,57,Waterdogs,10,10,5,5,0,5,5,29,0.1724137931034483,19,0.6551724137931034,0,0,0,11,9,262,224,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Romar,Dennis,M,5,Redwoods,9,15,8,1,7,15,0,41,0.1951219512195122,20,0.4878048780487805,25,0.28,15,5,8,163,114,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,0
Myles,Jones,M,8,Atlas,10,18,10,8,2,12,6,36,0.2777777777777778,24,0.6666666666666666,4,0.5,4,13,17,174,121,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Eli,Salama,LSM,13,Outlaws,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mike,Chanenchuk,M,1,Whipsnakes,10,13,7,4,3,10,3,46,0.15217391304347827,28,0.6086956521739131,12,0.25,6,11,12,244,186,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,,0
Sean,Sconone,G,31,Outlaws,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,12,0,0,0,0,0,8,0.347826086956522,17,13.6,2,1.6,3600,0,0,0,0,0,0,,1
Ian,MacKay,SSDM,55,Chaos,9,7,6,6,0,6,1,19,0.3157894736842105,12,0.631578947368421,3,0,2,9,4,85,62,0,6,0,6,0,0,0,0,0,0,0,0,5,5,0,0,0,0,,0
Kyle,Jackson,M,1,Chaos,10,11,9,9,0,9,2,32,0.28125,19,0.59375,3,0,0,8,9,147,106,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,0,0,,0
Patrick,Resch,SSDM,34,Chaos,10,2,1,1,0,1,1,3,0.3333333333333333,2,0.6666666666666666,0,0,0,14,4,82,75,4,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Kevin,Rogers,M,77,Redwoods,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Austin,Kaut,G,14,Chaos,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,53,50,1,0,0,0,0,46,0.534883720930232,44,13.078749096914027,4,1.18897719062855,9689,0,0,0,0,0,0,,3
Will,Haus,SSDM,18,Outlaws,10,2,0,0,0,0,2,0,0,0,0,0,0,0,6,2,46,44,3,2,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,,0
Mac,O'Keefe,A,7,Archers,10,24,20,19,1,21,3,75,0.26666666666666666,44,0.5866666666666667,14,0.07142857142857142,6,13,16,251,160,2,0,0,0,0,0,0,0,0,0,0,0,4,2.5,2,10,0,0,,0
Troy,Reh,LSM,10,Chaos,10,0,0,0,0,0,0,4,0,3,0.75,3,0,2,19,2,61,55,10,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,,0
Ryan,Conrad,M,23,Whipsnakes,14,12,10,10,0,10,2,74,0.13513513513513514,42,0.5675675675675675,6,0,0,14,16,262,172,0,2,0,2,0,0,0,0,0,0,0,0,2,1,2,4,0,0,,0
Ryan,Tierney,M,13,Redwoods,4,1,0,0,0,0,1,5,0,1,0.2,0,0,0,1,5,59,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0
Connor,Fields,A,5,Archers,10,32,25,25,0,25,7,71,0.352112676056338,49,0.6901408450704225,2,0,1,12,20,279,188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,,0
Sergio,Perkovic,M,30,Chaos,6,7,5,3,2,7,0,17,0.29411764705882354,11,0.6470588235294118,10,0.2,6,2,4,95,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,,0
Graeme,Hossack,D,81,Archers,7,0,0,0,0,0,0,2,0,0,0,2,0,0,20,4,43,37,6,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
CJ,Costabile,LSM,9,Chaos,5,0,0,0,0,0,0,5,0,2,0.4,4,0,1,12,2,26,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Warren,Jeffrey,D,27,Archers,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,2,45,43,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
Will,Manny,A,0,Cannons,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jackson,Morrill,A,4,Archers,6,14,4,4,0,4,10,12,0.3333333333333333,12,1,0,0,0,6,8,78,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,0
Zach,Currier,M,77,Waterdogs,10,19,11,10,1,12,7,25,0.44,18,0.72,3,0.3333333333333333,2,34,9,199,165,13,46,8,38,0.17391304347826086,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Reece,Eddy,LSM,9,Archers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Holden,Garlent,D,70,Redwoods,7,0,0,0,0,0,0,1,0,1,1,0,0,0,8,2,25,22,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,,0
Michael,Rexrode,D,22,Atlas,10,0,0,0,0,0,0,1,0,1,1,0,0,0,9,3,45,41,12,1,0,1,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Garrett,Epple,D,52,Cannons,10,0,0,0,0,0,0,0,0,0,0,0,0,0,20,4,93,89,20,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,,0
Tim,Muller,D,14,Whipsnakes,10,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,76,76,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Trevor,Baptiste,FO,9,Atlas,10,6,5,5,0,5,1,13,0.38461538461538464,9,0.6923076923076923,1,0,1,109,9,133,111,0,263,174,88,0.6615969581749049,0,0,0,0,0,0,0,5,2.5,0,0,0,0,,0
Dox,Aitken,M,6,Atlas,10,16,15,15,0,15,1,49,0.30612244897959184,32,0.6530612244897959,6,0,3,16,13,249,187,0,1,0,1,0,0,0,0,0,0,0,0,3,2,0,1,0,0,,0
Craig,Chick,LSM,13,Cannons,5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,14,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jake,Richard,SSDM,10,Waterdogs,9,2,0,0,0,0,2,3,0,3,1,0,0,0,8,1,55,51,3,14,0,13,0,0,0,0,0,0,0,0,4,2,0,0,0,0,,0
Colin,Heacock,M,10,Whipsnakes,9,9,8,8,0,8,1,23,0.34782608695652173,18,0.782608695652174,1,0,0,7,7,116,86,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,0,0,0,,0
Danny,Logan,SSDM,91,Atlas,10,2,2,2,0,2,0,8,0.25,5,0.625,2,0,1,9,0,73,65,3,26,2,24,0.07692307692307693,0,0,0,0,0,0,0,4,2.5,0,0,0,0,,0
Ryan,Drenner,M,22,Cannons,10,15,10,8,2,12,3,32,0.3125,19,0.59375,4,0.5,2,7,4,224,188,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,3,0,0,,0
Charlie,Bertrand,M,41,Redwoods,10,17,14,13,1,15,2,52,0.2692307692307692,36,0.6923076923076923,2,0.5,2,5,9,225,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,,0
Ryder,Garnsey,A,50,Redwoods,10,26,13,12,1,14,12,59,0.22033898305084745,30,0.5084745762711864,4,0.25,1,12,23,339,257,2,0,0,0,0,0,0,0,0,0,0,0,1,1,3,10,0,0,,0
Christian,Scarpello,SSDM,50,Waterdogs,9,1,1,1,0,1,0,3,0.3333333333333333,2,0.6666666666666666,2,0,1,12,3,66,60,4,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mikie,Schlosser,M,59,Waterdogs,3,2,2,2,0,2,0,4,0.5,3,0.75,0,0,0,0,2,40,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Connor,Kelly,M,40,Waterdogs,9,15,11,10,1,12,3,56,0.19642857142857142,36,0.6428571428571429,18,0.05555555555555555,8,6,6,203,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,,0
Bryan,Costabile,M,26,Atlas,9,19,11,11,0,11,8,47,0.23404255319148937,28,0.5957446808510638,11,0,3,12,11,228,170,2,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,2,0,0,,0
Bryce,Young,D,41,Cannons,10,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,59,56,11,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,,0
Jeff,Teat,A,7,Atlas,10,64,28,28,0,28,36,79,0.35443037974683544,53,0.6708860759493671,0,0,0,26,24,413,310,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,4,8,0,0,,0
Chris,Sabia,LSM,16,Waterdogs,6,0,0,0,0,0,0,3,0,2,0.6666666666666666,1,0,1,11,1,24,20,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
